Genre,TrackCount
german hip hop,3179
"danish hip hop, danish pop",1324
"french hip hop, pop urbaine, rap francais",1276
"reggaeton, trap latino, urbano latino",1253
reggaeton,1142
"polish hip hop, polish trap",1100
"dutch hip hop, dutch rap pop",1037
k-pop,989
turkish pop,965
polish hip hop,905
dutch hip hop,895
"reggaeton, urbano latino",881
manele,733
cantopop,725
"italian adult pop, italian pop",698
trap,679
pop,675
mizrahi,646
swedish pop,642
"czech hip hop, czsk hip hop",605
"finnish hip hop, finnish pop",600
mandopop,575
"latin hip hop, reggaeton, trap latino, urbano latino",570
romanian trap,567
"afrobeats, nigerian pop",566
dembow,562
"french hip hop, pop urbaine, rap marseille",560
dancehall,557
"turkish hip hop, turkish trap",531
italian hip hop,526
italian trap,521
norwegian pop,520
j-pop,519
danish pop,515
"greek hip hop, greek trap",511
khaleeji,506
"finnish dance pop, finnish hip hop, finnish pop",500
v-pop,498
amapiano,480
french rap,477
"french hip hop, pop urbaine, rap conscient",476
"k-pop, k-pop boy group",472
finnish hip hop,469
turkish hip hop,463
"italian hip hop, italian pop",459
danish hip hop,454
www.musik-sammler.de,452
cover,452
734500,452
"bulgarian pop, chalga",447
cumbia,438
greek trap,436
rap maroc,434
"french hip hop, pop urbaine",425
"czech drill, czech hip hop, czsk hip hop",404
"french hip hop, pop urbaine, r&b francais",401
hip hop,396
"2010s, 2020s, alternative r&b, canadian hip hop, contemporary r&b, cotm candidate, hardcore hip, hardcore hip hop, hip hop, hip-hop, lesbian, luxury rap, pedophilia, pop, pop rap, r&b, rap, rap us, rapper, relic inn, trap, trap rap",394
indonesian pop,392
israeli pop,385
czsk hip hop,385
folk pop,380
"italian hip hop, italian pop, trap italiana",376
german pop,373
"russian hip hop, russian trap",372
"german drill, german hip hop",369
greek drill,347
"egyptian hip hop, egyptian trap",342
"swedish gangsta rap, swedish hip hop, swedish trap, swedish trap pop",341
trap latino,336
hungarian pop,334
rap,319
dansktop,318
"reggaeton, reggaeton flow, trap latino, urbano latino",312
"dance pop, pop",310
"dancehall, soca",308
"greek pop, laiko",305
"german hip hop, hamburg hip hop",301
"trap latino, urbano latino",300
"songwriter, synth-pop, taylor-swift, teen pop, top 40",295
"italian hip hop, trap italiana",295
"german hip hop, german pop",295
"czsk hip hop, slovak hip hop",294
"french rap, pop urbaine",293
lithuanian pop,286
k-rap,285
cumbia pop,285
"2000s, 2010s, 2020s, alternative pop, americana, artist of the decade, chamber pop, contemporary country, country, country pop, country-pop, cultural icon, dance-pop, electropop, female vocals, fixme label mess, folk pop, hp, icon, indie folk, indie pop, late 2000s, loves planes, nuno, pop, pop rock, re-recording, relic inn, singer-songwriter, singer",283
"latin, latin urban, reggaeton",279
"t-pop, thai pop",277
russelater,275
"puerto rican pop, reggaeton, trap latino, urbano latino",271
opm,271
tropical house,268
"finnish dance pop, finnish hip hop",265
"filmi, modern bollywood",262
"734011.jpg, bravo hits 82, devotional buddhist chants, dont tag the va artist wtf, fail tags, mess mess, fix tags, why are you downvoting the mess tag? it is a mess!, stop using this for artist credits you are to lazy to look-up",261
"make, dont rate the va artist, dont tag the va artist, messy tags, tagmess, various artist",261
"not *every* artist, shine 4, has german audiobooks, 2001 space odyssey, oldest artist #1, casanovas, 2017, мелодии рождества, no this is still a mess, mess mess mess, why are you voting down tags that explain stuff, you *should* fix your tags, still a mess, stop using this for artist credits you are to lazy to look-up",261
"make. srsly, practically all these tags are fail, faaaaaail, failtags, rename into [various artists], no matter how long you keep voting down the fixme tag i will fight you. this should be fixed, please fix, fix mess, tagsmess, don t tag the va artist (yes i am aware of this irony), don t rate the va artist, dont use this for artist credits you are to lazy to look-up",261
"make, groom to the gallows, megafixme, loosers that downvote fixmetags are ..., stop using this for artist credits period!, don t use this for artist credits you are to lazy to look-up",261
"swedish hip hop, swedish trap pop",256
"finnish dance pop, finnish pop",253
"2010s, 2020s, alternative r&b, contemporary r&b, dance-pop, hypnagogic pop, pbr&b, pop, r&b, rnb, synth-pop",250
uk hip hop,245
"swedish idol pop, swedish pop",243
"k-pop, k-pop girl group",236
laiko,234
